,No.,symbol,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume,Earnings Date
0,1,A,"Agilent Technologies, Inc.",Healthcare,Diagnostics & Research,USA,49106.01,50.14,160.94,0.00%,0.0,11/22/2021 4:30:00 PM
1,2,AA,Alcoa Corporation,Basic Materials,Aluminum,USA,8857.34,11.38,48.86,0.00%,0.0,10/14/2021 4:30:00 PM
2,3,AAAU,Goldman Sachs Physical Gold ETF,Financial,Exchange Traded Fund,USA,,,18.14,0.00%,0.0,
3,4,AAC,Ares Acquisition Corporation,Financial,Shell Companies,USA,1225.07,101.13,9.81,0.00%,0.0,
4,5,AACG,ATA Creativity Global,Consumer Defensive,Education & Training Services,China,71.72,,2.32,0.00%,0.0,11/10/2021 4:30:00 PM
5,6,AACIU,Armada Acquisition Corp. I Unit,Financial,Shell Companies,USA,,,9.95,0.00%,0.0,
6,7,AADI,"Aadi Bioscience, Inc.",Healthcare,Biotechnology,USA,576.22,,27.04,0.00%,0.0,
7,8,AADR,AdvisorShares Dorsey Wright ADR ETF,Financial,Exchange Traded Fund,USA,,,66.22,0.00%,0.0,
8,9,AAIC,Arlington Asset Investment Corp.,Real Estate,REIT - Mortgage,USA,125.81,,3.87,0.00%,0.0,11/9/2021 4:30:00 PM
9,10,AAL,American Airlines Group Inc.,Industrials,Airlines,USA,13621.45,,22.25,0.00%,0.0,10/21/2021 8:30:00 AM
10,11,AAMC,Altisource Asset Management Corporation,Financial,Asset Management,USA,50.75,0.68,24.4,0.00%,0.0,
11,12,AAME,Atlantic American Corporation,Financial,Insurance - Life,USA,85.61,5.64,4.3,0.00%,0.0,
12,13,AAN,"The Aaron's Company, Inc.",Industrials,Rental & Leasing Services,USA,834.56,9.58,26.93,0.00%,0.0,10/26/2021 8:30:00 AM
13,14,AAOI,"Applied Optoelectronics, Inc.",Technology,Semiconductors,USA,234.12,,5.85,0.00%,0.0,11/4/2021 4:30:00 PM
14,15,AAON,"AAON, Inc.",Industrials,Building Products & Equipment,USA,3923.78,52.39,74.81,0.00%,0.0,11/4/2021 4:30:00 PM
15,16,AAP,"Advance Auto Parts, Inc.",Consumer Cyclical,Specialty Retail,USA,14381.12,24.43,227.91,0.00%,0.0,11/15/2021 4:30:00 PM
16,17,AAPL,Apple Inc.,Technology,Consumer Electronics,USA,2462957.08,26.83,150.44,0.00%,0.0,10/28/2021 4:30:00 PM
17,18,AAQC,Accelerate Acquisition Corp.,Financial,Shell Companies,USA,396.0,,9.9,0.00%,0.0,
18,19,AAT,"American Assets Trust, Inc.",Real Estate,REIT - Diversified,USA,2260.76,101.3,39.1,0.00%,0.0,10/26/2021 4:30:00 PM
19,20,AATC,Autoscope Technologies Corporation,Technology,Scientific & Technical Instruments,USA,38.65,12.83,6.99,0.00%,0.0,
20,21,AAU,Almaden Minerals Ltd.,Basic Materials,Gold,Canada,52.7,,0.39,0.00%,0.0,
21,22,AAWW,"Atlas Air Worldwide Holdings, Inc.",Industrials,Airports & Air Services,USA,2610.4,5.06,86.38,0.00%,0.0,11/3/2021 8:30:00 AM
22,23,AAXJ,iShares MSCI All Country Asia ex Japan ETF,Financial,Exchange Traded Fund,USA,,,86.86,0.00%,0.0,
23,24,AB,AllianceBernstein Holding L.P.,Financial,Asset Management,USA,5606.36,16.01,56.51,0.00%,0.0,10/28/2021 8:30:00 AM
24,25,ABB,ABB Ltd,Industrials,Specialty Industrial Machinery,Switzerland,71983.25,34.43,34.88,0.00%,0.0,10/21/2021 8:30:00 AM
25,26,ABBV,AbbVie Inc.,Healthcare,Drug Manufacturers - General,USA,204970.08,27.63,116.06,0.00%,0.0,10/29/2021 8:30:00 AM
26,27,ABC,AmerisourceBergen Corporation,Healthcare,Medical Distribution,USA,26014.87,17.05,125.98,0.00%,0.0,11/4/2021 8:30:00 AM
27,28,ABCB,Ameris Bancorp,Financial,Banks - Regional,USA,3751.9,9.91,55.24,0.00%,0.0,10/28/2021 4:30:00 PM
28,29,ABCL,AbCellera Biologics Inc.,Healthcare,Biotechnology,Canada,4918.17,20.72,15.33,0.00%,0.0,11/9/2021 4:30:00 PM
29,30,ABCM,Abcam plc,Healthcare,Biotechnology,United Kingdom,5324.61,238.06,23.33,0.00%,0.0,
30,31,ABEO,Abeona Therapeutics Inc.,Healthcare,Biotechnology,USA,97.88,,0.97,0.00%,0.0,
31,32,ABEQ,Absolute Core Strategy ETF,Financial,Exchange Traded Fund,USA,,,28.21,0.00%,0.0,
32,33,ABEV,Ambev S.A.,Consumer Defensive,Beverages - Brewers,Brazil,49572.18,17.5,3.15,0.00%,0.0,10/28/2021 8:30:00 AM
33,34,ABG,"Asbury Automotive Group, Inc.",Consumer Cyclical,Auto & Truck Dealerships,USA,3622.47,7.45,184.82,0.00%,0.0,10/26/2021 8:30:00 AM
34,35,ABGI,ABG Acquisition Corp. I,Financial,Shell Companies,USA,189.53,,9.8,0.00%,0.0,
35,36,ABIO,"ARCA biopharma, Inc.",Healthcare,Biotechnology,USA,38.62,,2.68,0.00%,0.0,11/2/2021 4:30:00 PM
36,37,ABM,ABM Industries Incorporated,Industrials,Specialty Business Services,USA,3099.49,22.39,47.78,0.00%,0.0,9/8/2021 4:30:00 PM
37,38,ABMD,"Abiomed, Inc.",Healthcare,Medical Devices,USA,16429.78,110.62,359.75,0.00%,0.0,10/28/2021 8:30:00 AM
38,39,ABNB,"Airbnb, Inc.",Communication Services,Internet Content & Information,USA,111458.05,,200.32,0.00%,0.0,11/4/2021 4:30:00 PM
39,40,ABOS,"Acumen Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,584.07,,14.58,0.00%,0.0,
40,41,ABR,"Arbor Realty Trust, Inc.",Real Estate,REIT - Mortgage,USA,2825.83,9.21,19.75,0.00%,0.0,10/29/2021 8:30:00 AM
41,42,ABSI,Absci Corporation,Healthcare,Biotechnology,USA,1682.56,,18.03,0.00%,0.0,11/9/2021 8:30:00 AM
42,43,ABST,Absolute Software Corporation,Technology,Software - Application,Canada,708.75,126.7,11.53,0.00%,0.0,11/9/2021 4:30:00 PM
43,44,ABT,Abbott Laboratories,Healthcare,Medical Devices,USA,233324.69,31.25,126.8,0.00%,0.0,10/20/2021 8:30:00 AM
44,45,ABTX,"Allegiance Bancshares, Inc.",Financial,Banks - Regional,USA,860.57,11.57,43.05,0.00%,0.0,10/28/2021 8:30:00 AM
45,46,ABUS,Arbutus Biopharma Corporation,Healthcare,Biotechnology,USA,397.98,,3.6,0.00%,0.0,11/4/2021 8:30:00 AM
46,47,ABVC,"ABVC BioPharma, Inc.",Healthcare,Biotechnology,USA,94.91,,3.7,0.00%,0.0,
47,48,AC,"Associated Capital Group, Inc.",Financial,Capital Markets,USA,816.79,8.05,38.15,0.00%,0.0,11/16/2021 4:30:00 PM
48,49,ACA,"Arcosa, Inc.",Industrials,Infrastructure Operations,USA,2570.74,34.79,55.91,0.00%,0.0,11/3/2021 4:30:00 PM
49,50,ACAD,ACADIA Pharmaceuticals Inc.,Healthcare,Biotechnology,USA,3143.72,,19.57,0.00%,0.0,11/8/2021 4:30:00 PM
50,51,ACAHU,Atlantic Coastal Acquisition Corp.,Financial,Shell Companies,USA,,,9.94,0.00%,0.0,
51,52,ACB,Aurora Cannabis Inc.,Healthcare,Drug Manufacturers - Specialty & Generic,Canada,1847.05,,7.3,0.00%,0.0,11/9/2021 4:30:00 PM
52,53,ACBAU,Ace Global Business Acquisition Limited,Financial,Shell Companies,Hong Kong,,,10.48,0.00%,0.0,
53,54,ACBI,"Atlantic Capital Bancshares, Inc.",Financial,Banks - Regional,USA,589.31,12.52,29.48,0.00%,0.0,10/27/2021 4:30:00 PM
54,55,ACC,"American Campus Communities, Inc.",Real Estate,REIT - Residential,USA,7537.46,440.0,54.56,0.00%,0.0,10/25/2021 4:30:00 PM
55,56,ACCD,"Accolade, Inc.",Healthcare,Health Information Services,USA,2626.78,,39.56,0.00%,0.0,10/7/2021 4:30:00 PM
56,57,ACCO,ACCO Brands Corporation,Industrials,Business Equipment & Supplies,USA,836.76,11.42,9.18,0.00%,0.0,10/26/2021 4:30:00 PM
57,58,ACEL,"Accel Entertainment, Inc.",Consumer Cyclical,Gambling,USA,1221.66,54.9,13.23,0.00%,0.0,11/3/2021 4:30:00 PM
58,59,ACER,Acer Therapeutics Inc.,Healthcare,Biotechnology,USA,37.81,,2.62,0.00%,0.0,
59,60,ACES,ALPS Clean Energy ETF,Financial,Exchange Traded Fund,USA,,,81.14,0.00%,0.0,
60,61,ACET,"Adicet Bio, Inc.",Healthcare,Biotechnology,USA,297.77,,9.32,0.00%,0.0,
61,62,ACEV,ACE Convergence Acquisition Corp.,Financial,Shell Companies,USA,286.36,,9.95,0.00%,0.0,
62,63,ACEVU,ACE Convergence Acquisition Corp.,Financial,Shell Companies,USA,,,10.64,0.00%,0.0,
63,64,ACGL,Arch Capital Group Ltd.,Financial,Insurance - Diversified,Bermuda,16419.78,8.6,42.62,0.00%,0.0,10/27/2021 4:30:00 PM
64,65,ACGLN,Arch Capital Group Ltd.,Financial,Insurance - Diversified,Bermuda,,5.24,26.01,0.00%,0.0,
65,66,ACH,Aluminum Corporation of China Limited,Basic Materials,Aluminum,China,14601.16,17.16,14.0,0.00%,0.0,
66,67,ACHC,"Acadia Healthcare Company, Inc.",Healthcare,Medical Care Facilities,USA,5619.82,30.15,64.3,0.00%,0.0,10/28/2021 4:30:00 PM
67,68,ACHL,Achilles Therapeutics plc,Healthcare,Biotechnology,United Kingdom,296.83,,6.86,0.00%,0.0,8/10/2021 8:30:00 AM
68,69,ACHR,Archer Aviation Inc.,Industrials,Aerospace & Defense,USA,1531.5,,6.14,0.00%,0.0,11/11/2021 4:30:00 PM
69,70,ACHV,"Achieve Life Sciences, Inc.",Healthcare,Biotechnology,Canada,83.26,,8.47,0.00%,0.0,11/9/2021 4:30:00 PM
70,71,ACI,"Albertsons Companies, Inc.",Consumer Defensive,Grocery Stores,USA,15560.77,26.73,33.36,0.00%,0.0,10/18/2021 8:30:00 AM
71,72,ACII,Atlas Crest Investment Corp. II,Financial,Shell Companies,USA,420.95,,9.76,0.00%,0.0,
72,73,ACIO,Aptus Collared Income Opportunity ETF,Financial,Exchange Traded Fund,USA,,,32.1,0.00%,0.0,
73,74,ACIU,AC Immune SA,Healthcare,Biotechnology,Switzerland,531.08,,7.37,0.00%,0.0,11/8/2021 8:30:00 AM
74,75,ACIW,"ACI Worldwide, Inc.",Technology,Software - Infrastructure,USA,3629.74,43.88,31.64,0.00%,0.0,11/4/2021 8:30:00 AM
75,76,ACKIT,Ackrell SPAC Partners I Co.,Financial,Shell Companies,USA,,,10.06,0.00%,0.0,
76,77,ACKIU,Ackrell SPAC Partners I Co.,Financial,Shell Companies,USA,329.33,,10.34,0.00%,0.0,
77,78,ACLS,"Axcelis Technologies, Inc.",Technology,Semiconductor Equipment & Materials,USA,1969.3,27.34,61.85,0.00%,0.0,11/3/2021 4:30:00 PM
78,79,ACM,AECOM,Industrials,Engineering & Construction,USA,9978.37,53.73,70.98,0.00%,0.0,11/15/2021 8:30:00 AM
79,80,ACMR,"ACM Research, Inc.",Technology,Semiconductor Equipment & Materials,USA,2182.26,78.35,106.4,0.00%,0.0,11/4/2021 4:30:00 PM
80,81,ACN,Accenture plc,Technology,Information Technology Services,Ireland,239891.49,40.08,366.93,0.00%,0.0,9/23/2021 8:30:00 AM
81,82,ACNB,ACNB Corporation,Financial,Banks - Regional,USA,246.33,8.06,28.12,0.00%,0.0,
82,83,ACOR,"Acorda Therapeutics, Inc.",Healthcare,Biotechnology,USA,42.79,,3.74,0.00%,0.0,11/9/2021 4:30:00 PM
83,84,ACP,Aberdeen Income Credit Strategies Fund,Financial,Closed-End Fund - Debt,USA,198.43,,11.38,0.00%,0.0,
84,85,ACQR,Independence Holdings Corp.,Financial,Shell Companies,USA,383.96,,9.8,0.00%,0.0,
85,86,ACQRU,Independence Holdings Corp.,Financial,Shell Companies,USA,,,10.0,0.00%,0.0,
86,87,ACR,ACRES Commercial Realty Corp.,Real Estate,REIT - Mortgage,USA,151.65,3.33,15.09,0.00%,0.0,11/4/2021 4:30:00 PM
87,88,ACRE,Ares Commercial Real Estate Corporation,Real Estate,REIT - Mortgage,USA,720.5,9.05,15.87,0.00%,0.0,11/3/2021 8:30:00 AM
88,89,ACRO,Acropolis Infrastructure Acquisition Corp.,Financial,Shell Companies,USA,375.48,,9.72,0.00%,0.0,
89,90,ACRS,"Aclaris Therapeutics, Inc.",Healthcare,Biotechnology,USA,1045.92,,16.7,0.00%,0.0,11/3/2021 8:30:00 AM
90,91,ACRX,"AcelRx Pharmaceuticals, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,USA,102.78,,0.86,0.00%,0.0,8/16/2021 4:30:00 PM
91,92,ACST,Acasti Pharma Inc.,Healthcare,Biotechnology,Canada,96.49,,1.7,0.00%,0.0,11/10/2021 8:30:00 AM
