,No.,symbol,Market Cap,Shares Outstanding,Shares Float,Insider Ownership,Insider Transactions,Institutional Ownership,Institutional Transactions,Float Short,Short Ratio,Average Volume,Price,Change,Volume
0,1,A,49106.01,303.0,301.94,0.10%,-24.98%,90.10%,-0.22%,1.38%,2.82,1482650.0,160.94,2.90%,1466981000.0
1,2,AA,8857.34,187.0,184.05,0.30%,-11.83%,79.50%,0.84%,5.02%,1.12,8273590.0,48.86,2.09%,10550347000.0
2,3,AAIC,125.81,33.07,31.53,2.90%,1.62%,44.00%,0.29%,0.92%,2.44,119100.0,3.87,1.04%,72062000.0
3,4,AAL,13621.45,648.56,641.08,0.10%,0.00%,54.20%,0.18%,14.06%,3.01,29913210.0,22.25,1.97%,35774432000.0
4,5,AAN,834.56,32.48,30.79,1.30%,-14.08%,,2.60%,1.91%,2.34,250790.0,26.93,5.20%,301067000.0
5,6,AAOI,234.12,40.02,25.2,7.60%,0.00%,49.40%,0.54%,17.85%,7.63,589050.0,5.85,-0.17%,7146523000.0
6,7,AAON,3923.78,52.45,41.53,18.40%,-0.08%,72.00%,-0.00%,3.53%,11.49,127640.0,74.81,1.23%,107066000.0
7,8,AAP,14381.12,64.75,62.73,0.20%,-4.75%,,-0.42%,6.19%,6.56,592310.0,227.91,-0.79%,486784000.0
8,9,AAPL,2462957.08,16487.12,16394.51,0.07%,-19.65%,59.10%,-0.11%,0.62%,1.33,75705710.0,150.44,-0.56%,55020868000.0
9,10,AAT,2260.76,59.99,59.66,0.50%,,98.50%,0.49%,1.55%,4.04,228390.0,39.1,-2.47%,305808000.0
10,11,AAU,52.7,137.22,131.63,7.20%,0.00%,5.10%,0.30%,0.62%,1.48,547180.0,0.39,1.55%,966586000.0
11,12,AAWW,2610.4,29.02,27.12,0.50%,-3.20%,,0.24%,12.91%,6.86,510090.0,86.38,0.49%,674071000.0
12,13,AB,5606.36,99.41,93.8,0.30%,0.00%,14.10%,-0.10%,1.33%,5.01,248760.0,56.51,-0.16%,176562000.0
13,14,ABB,71983.25,2001.0,1886.86,,,6.00%,0.68%,0.11%,1.5,1321090.0,34.88,1.01%,784057000.0
14,15,ABBV,204970.08,1770.0,1765.75,0.10%,-9.10%,68.90%,0.40%,0.65%,1.56,7348510.0,116.06,-0.96%,7015002000.0
15,16,ABC,26014.87,206.16,148.5,0.10%,-56.77%,65.80%,-0.31%,1.01%,2.02,744980.0,125.98,-1.25%,974197000.0
16,17,ABCB,3751.9,69.5,66.11,1.30%,-0.84%,91.40%,,2.51%,4.66,355620.0,55.24,0.27%,203084000.0
17,18,ABCL,4918.17,272.2,194.84,20.80%,-19.53%,41.80%,1.06%,5.18%,4.11,2455510.0,15.33,1.59%,2193552000.0
18,19,ABEO,97.88,96.51,85.31,2.60%,-5.72%,28.50%,0.87%,3.40%,4.51,643740.0,0.97,7.98%,1796008000.0
19,20,ABEV,49572.18,15737.2,4398.22,,,9.31%,,0.82%,1.4,25868450.0,3.15,-2.17%,26782484000.0
20,21,ABG,3622.47,19.3,19.16,0.10%,0.00%,,-1.09%,7.95%,6.14,248200.0,184.82,1.51%,651249000.0
21,22,ABIO,38.62,14.41,14.35,0.40%,20.99%,8.30%,0.17%,2.07%,0.88,338960.0,2.68,1.90%,307557000.0
22,23,ABM,3099.49,67.5,66.44,1.00%,-1.35%,96.60%,1.42%,2.35%,4.54,344380.0,47.78,-0.46%,358637000.0
23,24,ABMD,16429.78,45.44,44.58,1.30%,-14.50%,93.70%,-0.23%,1.82%,4.01,201610.0,359.75,-0.54%,201007000.0
24,25,ABNB,111458.05,611.74,335.66,4.10%,-23.26%,48.40%,0.43%,4.65%,2.65,5877830.0,200.32,-0.64%,12855319000.0
25,26,ABR,2825.83,142.62,139.81,1.00%,0.29%,45.50%,0.15%,4.76%,4.71,1412850.0,19.75,0.61%,1965902000.0
26,27,ABST,708.75,47.64,38.34,0.42%,0.00%,86.90%,,0.62%,2.31,102920.0,11.53,-0.09%,50641000.0
27,28,ABT,233324.69,1774.52,1764.59,0.20%,-5.90%,75.20%,-0.17%,0.59%,2.18,4816280.0,126.8,1.95%,4929976000.0
